GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_UP	159	http://www.broadinstitute.org/gsea/msigdb/cards/GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_UP	0.44596	1.6725	0.008147	1	0.327	0.365	0.201	0.295	0	0.272
GSE13493_CD4INTCD8POS_VS_CD8POS_THYMOCYTE_UP	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13493_CD4INTCD8POS_VS_CD8POS_THYMOCYTE_UP	0.33686	1.6143	0	1	0.513	0.281	0.162	0.239	0.38784	0.312
GSE9988_LPS_VS_LOW_LPS_MONOCYTE_DN	91	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_LPS_VS_LOW_LPS_MONOCYTE_DN	0.43332	1.5957	0.004425	1	0.583	0.253	0.148	0.217	0.36132	0.283
GSE8515_IL1_VS_IL6_4H_STIM_)MAC_DN	124	http://www.broadinstitute.org/gsea/msigdb/cards/GSE8515_IL1_VS_IL6_4H_STIM_)MAC_DN	0.39665	1.593	0.008316	1	0.596	0.355	0.205	0.285	0.2813	0.249
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_UP	157	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_UP	0.43967	1.588	0.02484	1	0.612	0.395	0.197	0.321	0.24969	0.223
GSE15659_NAIVE_VS_PTPRC_NEG_CD4_TCELL_UP	120	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15659_NAIVE_VS_PTPRC_NEG_CD4_TCELL_UP	0.37754	1.5767	0.002079	0.94833	0.654	0.25	0.141	0.217	0.24709	0.218
GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_DN	159	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_DN	0.38192	1.5758	0.01212	0.81882	0.657	0.434	0.309	0.303	0.21226	0.197
GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_DN	142	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_DN	0.34591	1.5725	0	0.74198	0.671	0.183	0.131	0.161	0.19392	0.179
GSE15659_NAIVE_CD4_TCELL_VS_ACTIVATED_TREG_UP	118	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15659_NAIVE_CD4_TCELL_VS_ACTIVATED_TREG_UP	0.38113	1.526	0.008	1	0.835	0.288	0.182	0.238	0.36902	0.255
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_UP	113	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_UP	0.37868	1.4833	0.02188	1	0.917	0.23	0.144	0.199	0.64475	0.356
