GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.49585	-1.7373	0.005736	0.68712	0.21	0.429	0.195	0.349	0	0.116
GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_DN	141	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.42898	-1.6518	0.003676	1	0.457	0.291	0.13	0.256	0	0.194
GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	185	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.4435	-1.6249	0.02099	0.89037	0.523	0.427	0.224	0.336	0.22306	0.187
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_1MONTH_POST_DX_UP	179	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_1MONTH_POST_DX_UP	-0.34627	-1.576	0.01167	1	0.691	0.307	0.2	0.249	0.35701	0.263
GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	174	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.4198	-1.569	0.02486	0.98486	0.718	0.466	0.256	0.351	0.33857	0.228
GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.42688	-1.5556	0.01883	0.95495	0.75	0.384	0.192	0.314	0.34543	0.225
GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.42741	-1.5489	0.03455	0.88148	0.769	0.341	0.163	0.289	0.33591	0.209
GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN	174	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.36741	-1.4912	0.07828	1	0.908	0.483	0.291	0.347	0.65414	0.38
GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDM_UP	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDM_UP	-0.31185	-1.4703	0.01152	1	0.949	0.17	0.0903	0.156	0.77729	0.418
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_DN	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_DN	-0.31726	-1.4692	0.01341	1	0.95	0.455	0.328	0.31	0.70595	0.388
GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_DN	186	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_DN	-0.31212	-1.4661	0.02584	1	0.954	0.301	0.233	0.234	0.67593	0.37
GSE339_EX_VIVO_VS_IN_CULTURE_CD4CD8DN_DC_DN	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE339_EX_VIVO_VS_IN_CULTURE_CD4CD8DN_DC_DN	-0.33375	-1.4648	0.02381	1	0.955	0.335	0.197	0.273	0.63255	0.349
GSE17721_POLYIC_VS_CPG_6H_BMDM_UP	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_CPG_6H_BMDM_UP	-0.30898	-1.4426	0.02103	1	0.97	0.309	0.203	0.25	0.78488	0.413
GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_DN	-0.33524	-1.4421	0.02692	1	0.97	0.292	0.161	0.249	0.72987	0.389
